"","ev_id","ev_year","ev_month","prim_rsn","sec_rsn","sub1_rsn","sub2_rsn","sub3_rsn"
"9323","20101001X52909",2010,9,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Attain/maintain not possible "
"9324","20101001X52909",2010,9,"Aircraft","Aircraft systems","Landing gear system","Nose/tail gear attach section","Failure "
"9325","20101001X80217",2010,10,"Aircraft","Aircraft systems","Landing gear system","Brake","Incorrect use/operation "
"9326","20101002X84837",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","(general)","Not specified "
"9327","20101003X04946",2010,10,"Personnel issues","Action/decision","Action","Incorrect action performance","Pilot "
"9328","20101003X04946",2010,10,"Aircraft","Aircraft systems","Fuel system","Fuel selector/shutoff valve","Incorrect use/operation "
"9329","20101003X04946",2010,10,"Personnel issues","Task performance","Use of equip/info","Use of checklist","Pilot "
"9330","20101003X04946",2010,10,"Personnel issues","Task performance","Inspection","Preflight inspection","Pilot "
"9331","20101003X04946",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9332","20101003X41532",2010,10,"Environmental issues","Physical environment","Object/animal/substance","Tree(s)","Contributed to outcome "
"9333","20101003X41532",2010,10,"Environmental issues","Conditions/weather/phenomena","Wind","Crosswind","Response/compensation "
"9334","20101003X41532",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9335","20101003X41532",2010,10,"Environmental issues","Conditions/weather/phenomena","Wind","Crosswind","Contributed to outcome "
"9336","20101003X43835",2010,10,"Aircraft","Aircraft systems","Fuel system","Fuel selector/shutoff valve","Unintentional use/operation "
"9337","20101003X43835",2010,10,"Personnel issues","Experience/knowledge","Experience/qualifications","Total experience w/ equipment","Pilot "
"9338","20101003X43835",2010,10,"Aircraft","Aircraft systems","Fuel system","Fuel selector/shutoff valve","Incorrect use/operation "
"9339","20101003X44034",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9340","20101003X44034",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","(general)","Not attained/maintained "
"9341","20101003X44034",2010,10,"Environmental issues","Physical environment","Terrain","(general)","Decision related to condition "
"9342","20101004X44844",2010,10,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
"9343","20101004X44844",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Climb rate","Attain/maintain not possible "
"9344","20101004X45616",2010,10,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
